prompt_id,mode,seed,raw_prompt,final_prompt,wav_path
1,raw,42,A luxurious indietronica instrumental for a high-end perfume advertisement,A luxurious indietronica instrumental for a high-end perfume advertisement,../experiments/results/raw/prompt01_seed42.wav
1,structured_json,42,A luxurious indietronica instrumental for a high-end perfume advertisement,"```json {   ""genre"": ""indietronica"",   ""mood"": ""luxurious, elegant, sophisticated"",   ""tempo"": ""medium"",   ""rhythm"": ""4/4"",   ""instruments"": [""synthesizer"", ""guitar""],   ""harmony"": ""multiphonic, complex"",   ""texture"": ""textured, layered, rich"",   ""structure"": ""uplifting, flowing, dreamy"",   ""production"": ""high fidelity, polished, professional"",   ""use_case"": ""high-end perfume advertisement"",   ""negative"": ""avoid over-the-top, excessive use of electronic sounds"" } ```",../experiments/results/structured_json/prompt01_seed42.wav
1,structured_nl,42,A luxurious indietronica instrumental for a high-end perfume advertisement,"Genre: indietronica. Mood: luxurious, elegant, sophisticated. Tempo: medium. Rhythm: 4/4. Instruments: synthesizer, guitar. Harmony: multiphonic, complex. Texture: textured, layered, rich. Structure: uplifting, flowing, dreamy. Production style: high fidelity, polished, professional. Use case: high-end perfume advertisement. Avoid the following: avoid over-the-top, excessive use of electronic sounds.",../experiments/results/structured_nl/prompt01_seed42.wav
2,raw,42,A calm ambient background music for meditation and relaxation,A calm ambient background music for meditation and relaxation,../experiments/results/raw/prompt02_seed42.wav
2,structured_json,42,A calm ambient background music for meditation and relaxation,"```json {   ""genre"": ""ambient, atmospheric, easylistening"",   ""mood"": ""calm, meditative, relaxing"",   ""tempo"": ""70.6 bpm"",   ""rhythm"": ""4/4"",   ""instruments"": [""piano"", ""flute""],   ""harmony"": ""soft, gentle arpeggios"",   ""texture"": ""smooth, layered soundscapes"",   ""structure"": ""long, sustained notes with soft chord changes"",   ""production"": ""high quality, serene sound design"",   ""use_case"": ""meditation, yoga, spa, massage, sleep aid"",   ""negative"": ""may not have enough energy for active activities"" } ```",../experiments/results/structured_json/prompt02_seed42.wav
2,structured_nl,42,A calm ambient background music for meditation and relaxation,"Genre: ambient, atmospheric, easylistening. Mood: calm, meditative, relaxing. Tempo: 70.6 bpm. Rhythm: 4/4. Instruments: piano, flute. Harmony: soft, gentle arpeggios. Texture: smooth, layered soundscapes. Structure: long, sustained notes with soft chord changes. Production style: high quality, serene sound design. Use case: meditation, yoga, spa, massage, sleep aid. Avoid the following: may not have enough energy for active activities.",../experiments/results/structured_nl/prompt02_seed42.wav
3,raw,42,An upbeat electronic track with a steady rhythm for a tech product launch,An upbeat electronic track with a steady rhythm for a tech product launch,../experiments/results/raw/prompt03_seed42.wav
3,structured_json,42,An upbeat electronic track with a steady rhythm for a tech product launch,"```json {   ""genre"": ""electronic"",   ""mood"": ""upbeat"",   ""tempo"": ""medium"",   ""rhythm"": ""4/4"",   ""instruments"": [""synthesizer"", ""drum machine""],   ""harmony"": ""synth lead melody over synth pad chords"",   ""texture"": ""bright and shimmering"",   ""structure"": ""introduction, verse, chorus, bridge, outro"",   ""production"": ""clean and modern sounding, high fidelity mixing and mastering"",   ""use_case"": ""tech product launch event or promotional video"",   ""negative"": ""avoid using any sounds that could be associated with copyright infringement"" } ```",../experiments/results/structured_json/prompt03_seed42.wav
3,structured_nl,42,An upbeat electronic track with a steady rhythm for a tech product launch,"Genre: electronic. Mood: upbeat. Tempo: medium. Rhythm: 4/4. Instruments: synthesizer, drum machine. Harmony: synth lead melody over synth pad chords. Texture: bright and shimmering. Structure: introduction, verse, chorus, bridge, outro. Production style: clean and modern sounding, high fidelity mixing and mastering. Use case: tech product launch event or promotional video. Avoid the following: avoid using any sounds that could be associated with copyright infringement.",../experiments/results/structured_nl/prompt03_seed42.wav
4,raw,42,A cinematic orchestral score with suspense and tension,A cinematic orchestral score with suspense and tension,../experiments/results/raw/prompt04_seed42.wav
